Unnamed: 0_level_0,Unnamed: 1_level_0,F-1 measure,F-1 measure,F-1 measure
Method,Acc.,Chihuahua,French Poodle,Schnauzer
Majority,58.76%,61.49%,6.59%,6.78%
Wav2Vec2 (from scratch),60.18%,74.42%,14.96%,5.79%
Wav2Vec2 (pre-trained),62.28%,74.47%,36.11%,14.88%
